,Node Label,PN incoming Connections,FSI incoming Connections,LTS incoming Connections
251,PN,33,34,16
252,PN,27,18,9
253,PN,1,6,2
254,PN,0,0,0
255,PN,1,2,2
256,PN,1,1,3
257,PN,0,2,1
258,PN,0,1,4
259,PN,40,25,15
260,PN,0,0,1
261,PN,1,4,6
262,PN,0,0,1
263,PN,32,33,22
264,PN,22,12,12
265,PN,0,0,1
266,PN,25,22,17
267,PN,1,7,3
268,PN,2,4,5
269,PN,37,31,23
270,PN,0,2,3
271,PN,35,33,34
272,PN,6,9,10
273,PN,13,12,5
274,PN,5,2,2
275,PN,0,1,0
276,PN,18,27,16
277,PN,38,24,20
278,PN,2,5,8
279,PN,38,19,17
280,PN,0,1,0
281,PN,3,1,0
282,PN,9,5,7
283,PN,5,14,8
284,PN,1,1,1
285,PN,4,8,6
286,PN,0,0,1
287,PN,11,14,6
288,PN,17,22,15
289,PN,11,16,11
290,PN,6,14,11
291,PN,0,0,0
292,PN,30,14,15
293,PN,0,2,1
294,PN,13,10,11
295,PN,19,15,13
296,PN,2,3,1
297,PN,7,8,5
298,PN,43,45,31
299,PN,35,23,16
300,PN,21,10,7
301,PN,22,13,18
302,PN,11,12,9
303,PN,15,18,9
304,PN,0,1,0
305,PN,23,22,24
306,PN,25,24,16
307,PN,21,11,9
308,PN,0,3,4
309,PN,2,3,2
310,PN,26,13,17
311,PN,0,0,0
312,PN,37,37,23
313,PN,28,27,15
314,PN,5,7,7
315,PN,40,40,26
316,PN,7,6,7
317,PN,7,15,9
318,PN,26,33,22
319,PN,12,16,10
320,PN,0,6,3
321,PN,32,27,26
322,PN,14,15,13
323,PN,12,6,7
324,PN,29,23,16
325,PN,0,1,0
326,PN,33,25,14
327,PN,21,20,12
328,PN,25,20,11
329,PN,5,8,4
330,PN,33,20,13
331,PN,21,13,18
332,PN,30,29,26
333,PN,34,25,24
334,PN,0,0,0
335,PN,34,34,29
336,PN,17,13,7
337,PN,8,19,10
338,PN,4,4,7
339,PN,0,2,0
340,PN,25,25,18
341,PN,16,25,15
342,PN,25,22,16
343,PN,28,31,18
344,PN,20,22,11
345,PN,31,26,17
346,PN,22,22,15
347,PN,3,5,2
348,PN,30,33,21
349,PN,13,12,8
350,PN,4,3,1
351,PN,15,14,10
352,PN,33,11,14
353,PN,2,4,5
354,PN,22,16,11
355,PN,26,34,21
356,PN,4,6,4
357,PN,62,44,28
358,PN,25,11,10
359,PN,28,20,8
360,PN,17,16,14
361,PN,2,1,2
362,PN,5,12,7
363,PN,9,14,12
364,PN,26,39,15
365,PN,31,18,17
366,PN,3,8,4
367,PN,3,3,2
368,PN,3,3,4
369,PN,5,16,6
370,PN,9,20,6
371,PN,14,15,5
372,PN,3,4,4
373,PN,10,15,17
374,PN,0,0,1
375,PN,17,11,3
376,PN,32,33,13
377,PN,7,7,4
378,PN,1,2,1
379,PN,0,0,0
380,PN,2,2,0
381,PN,20,16,12
382,PN,13,9,12
383,PN,26,29,16
384,PN,0,2,0
385,PN,15,6,6
386,PN,32,34,28
387,PN,18,6,4
388,PN,13,12,3
389,PN,4,4,4
390,PN,8,10,13
391,PN,3,4,4
392,PN,2,4,1
393,PN,49,36,16
394,PN,28,24,19
395,PN,3,8,7
396,PN,10,10,7
397,PN,0,1,0
398,PN,31,24,18
399,PN,19,13,9
400,PN,0,0,0
401,PN,5,10,9
402,PN,5,11,5
403,PN,20,18,16
404,PN,14,14,5
405,PN,31,21,17
406,PN,0,4,3
407,PN,1,1,2
408,PN,52,24,16
409,PN,1,0,1
410,PN,28,17,13
411,PN,11,9,13
412,PN,3,4,11
413,PN,6,8,7
414,PN,13,15,15
415,PN,14,19,8
416,PN,5,4,6
417,PN,8,4,3
418,PN,11,11,6
419,PN,13,22,15
420,PN,19,16,12
421,PN,14,25,15
422,PN,7,2,1
