,Node Label,PN incoming Connections,FSI incoming Connections,LTS incoming Connections
287,PN,69,50,23
288,PN,54,35,23
289,PN,42,35,35
290,PN,80,57,37
291,PN,70,48,41
292,PN,50,26,19
293,PN,79,60,54
294,PN,76,33,14
295,PN,56,32,15
296,PN,75,64,52
297,PN,65,33,24
298,PN,19,21,18
299,PN,53,12,20
300,PN,59,43,33
301,PN,46,46,37
302,PN,63,42,38
303,PN,55,48,27
304,PN,71,67,50
305,PN,51,36,37
306,PN,43,27,25
307,PN,53,32,20
308,PN,66,53,37
309,PN,90,61,51
310,PN,55,33,42
311,PN,78,63,51
312,PN,22,20,21
313,PN,46,36,22
314,PN,64,43,37
315,PN,28,15,12
316,PN,77,56,31
317,PN,68,36,29
318,PN,59,43,27
319,PN,54,50,37
320,PN,74,60,31
321,PN,36,38,21
322,PN,53,37,28
323,PN,66,55,46
324,PN,41,33,25
325,PN,62,66,54
326,PN,31,19,12
327,PN,55,45,30
328,PN,39,27,27
329,PN,61,63,39
330,PN,50,30,40
331,PN,57,56,27
332,PN,35,31,18
333,PN,34,36,22
334,PN,77,58,55
335,PN,46,21,25
336,PN,55,25,33
337,PN,54,41,34
338,PN,63,69,42
339,PN,77,65,48
340,PN,58,30,22
341,PN,44,43,35
342,PN,44,37,24
343,PN,36,35,25
344,PN,51,42,32
345,PN,45,32,24
346,PN,54,52,24
347,PN,64,65,37
348,PN,42,40,30
349,PN,55,35,17
350,PN,66,53,31
351,PN,53,42,17
352,PN,56,28,21
353,PN,64,47,48
354,PN,55,28,26
355,PN,48,24,31
356,PN,74,48,43
357,PN,21,19,21
358,PN,63,35,28
359,PN,49,34,22
360,PN,51,46,17
361,PN,68,35,32
362,PN,64,43,38
363,PN,62,44,26
364,PN,51,35,14
365,PN,43,24,28
366,PN,73,43,22
367,PN,68,63,43
368,PN,56,54,37
369,PN,82,34,26
370,PN,70,39,13
371,PN,59,46,28
372,PN,44,50,39
373,PN,73,49,37
374,PN,63,34,28
375,PN,72,44,32
376,PN,43,31,17
377,PN,44,33,36
378,PN,83,68,58
379,PN,61,81,60
380,PN,69,57,50
381,PN,50,50,34
382,PN,62,50,30
383,PN,46,34,19
384,PN,68,52,48
385,PN,61,34,22
386,PN,45,32,14
387,PN,67,38,25
388,PN,70,36,18
