Cell Pair,baseline,sign,latency,amp,rise_time,decay_time,half_width,PPR
PN2PN,0.17342715740488757,-1.0,1.6500000000000001,0.015515267286936307,1.2000000000000002,7.184391879625164,10.100000000000001,1.3473588151946279
PN2FSI,0.03757222241485181,-1.0,1.6500000000000001,0.006826754916232858,0.55,3.6355042869088052,4.95,0.9973762410659719
PN2LTS,0.03450913034573233,-1.0,1.6500000000000001,0.0025556299641422697,1.2000000000000002,5.128650573933041,6.9,2.2517528400790554
FSI2PN,0.17342715740488757,1.0,0.025,0.017102342898567713,0.225,7.0431243620648285,5.675000000000001,1.03888938945227
LTS2PN,0.17342715740488757,1.0,0.025,0.004308630322370277,1.125,31.500408002730175,24.775000000000002,2.103349001477991
FSI2FSI,-0.06914366016025042,1.0,1.6500000000000001,0.07500233341217921,0.325,5.029525435085038,5.8500000000000005,0.7251886803383681
LTS2FSI,-0.06914366016025042,1.0,1.6500000000000001,0.0060002443283835305,1.425,20.143315860440502,18.825,1.7405380552668024
FSI2LTS,0.03450913034573233,1.0,1.6500000000000001,0.0675046871502829,0.325,5.029527854799951,5.8500000000000005,0.7251886863146838
LTS2LTS,0.03450913034573233,1.0,1.6500000000000001,0.01125089529978851,1.425,20.14331692715311,18.825,1.7405380421203136
